Region;Delegation;Sown Year;Sown Area (khas);Harvested Area (khas);Yield by Delegation (tn/has);Production (kTn);ENSO;Month;PH /HW;Protein;
C BA;BRAGADO;2003;70;68,6;3,4;233,24;NEUTRAL;April;81,51705826;11,16470023;
C BA;BOLIVAR;2003;100;98;3;294;NEUTRAL;April;81,61093655;11,19301598;
SW BA;B BLANCA;2003;430;417,1;1,6;667,36;NEUTRAL;April;83,24261619;10,28789061;
N BA;JUNIN;2003;80;78,4;3,3;258,72;NEUTRAL;April;81,23010993;11,49954262;
W BA;LINCOLN;2003;95;93,1;3;279,3;NEUTRAL;April;82,42397957;10,97018918;
W BA;PEHUAJO;2003;80;78,4;3;235,2;NEUTRAL;April;81,92999596;11,4;
N BA;PERGAMINO;2003;95;95;3,3;313,5;NEUTRAL;April;81,34107207;11,22613736;
SW BA;PIGUE;2003;455;423,15;1,9;803,985;NEUTRAL;April;80,07141142;10,96045645;
C BA;SALIQUELLO;2003;150;142,5;1,9;270,75;NEUTRAL;April;80,51170484;11,89390383;
SE BA;TANDIL;2003;510;504,9;4,5;2272,05;NEUTRAL;April;81,1790487;10,25026803;
SE BA;TRES ARROYOS;2003;1000;990;3,5;3465;NEUTRAL;April;81,13729936;10,01219996;
C BA;25 DE MAYO;2003;45;44,55;3,5;155,925;NEUTRAL;April;82,82857368;10,75171719;
S SFE;CASILDA;2003;120;118,8;3;356,4;NEUTRAL;April;82,06934878;10,80039996;
C SFE;CDA GOMEZ;2003;180;178,2;3;534,6;NEUTRAL;April;82,02115516;10,99475508;
N SFE;RAFAELA;2003;165;163,35;2,5;408,375;NEUTRAL;April;80,84148142;11,14554418;
N SFE;AVELLANEDA;2003;85;84,15;1,6;134,64;NEUTRAL;April;81,9023148;12,5033731;
S SFE;VDO TUERTO;2003;115;109,25;3,3;360,525;NEUTRAL;April;82,76363636;10,81818182;
E CBA;M JUAREZ;2003;225;202,5;3;607,5;NEUTRAL;April;82,38731138;10,90558083;
S CBA;RIO IV;2003;115;97,75;1,3;127,075;NEUTRAL;April;79,08845477;11,60471551;
N CBA;S FRANCISCO;2003;375;337,5;2;675;NEUTRAL;April;79,88605306;11,61027784;
C CBA;VILLA MARIA;2003;260;240,5;1,6;384,8;NEUTRAL;April;78,23268368;11,55867581;
ER;PARANA;2003;106;104,94;2,7;283,338;NEUTRAL;April;81,93798384;9,563764828;
ER;ROS DEL TALA;2003;138;136,62;2,7;368,874;NEUTRAL;April;81,77003969;9,549615282;
S LP;SANTA ROSA;2003;195;175,5;1,4;245,7;NEUTRAL;April;80,81971853;11,76757192;
N LP;GRAL PICO;2003;100;92;1,2;110,4;NEUTRAL;April;79,35798408;12,11491751;
NEA;Chaco North;2003;15;12;0,9;10,8;NEUTRAL;April;78,88;14,55;
NEA;Sgo del Estero SE;2003;200;150;1,4;210;NEUTRAL;April;80,89;13,28;
